czy_stwierdzenie,tekst
1,"@Anna_Mierzynska @oko_press Efekty widać: szczepienia trwają od grudnia, głównie jedna dawka, dopiero niedawno zaczęło się masowe podawanie drugiej. Na pocz stycznia było tu nawet 60 tys zakażeń dziennie, wczoraj było 4700. A robią od 600 tys do blisko miliona testów dziennie."
0,@iwonka5 Bo to jest od dziś. Wszystkie szczepienia zaplanowane do dziś odbywają się normalnym trybem.
1,"Szczepionka #Soberana02 weszła w ostatnią fazę testów. Przed końcem roku Kuba ma nadzieję nie tylko zaszczepić wszystkich mieszkańców wyspy, ale także podzielić się szczepionką z państwami Globalnego Południa i… turystami 

#szczepionka #Kuba
https://t.co/M90GpcQ4EM"
1,"Szczepionka firmy AstraZeneca może być skuteczna przeciwko wariantowi brazylijskiemu koronawirusa - sugerują wstępne, nieopublikowane jeszcze badania. Oficjalne wyniki mogą być opublikowane jeszcze w marcu 2021 r.
https://t.co/DvBmVHZXsY"
0,"@SamselMarcin @Tamara10612 @JacekJaworskiGd @JarekMarek11 Nic się nie zmieniło. Realnie, bez terminu dostawy jest kilkadziesiąt procent szczepionek. Cała reszta dojechała lub w najbliższym czasie dojedzie do Punktów Szczepień na umówione szczepienia. Te dawki są już de facto rozdysponowane i trafią do pacjentów."
1,Korea Południowa. Osiem osób zmarło kilka dni po szczepieniu. Coraz więcej trupów po wynalazku @AstraZeneca oczywiście oficjalnie szczepionka NIE ZABIJA  https://t.co/hyJaFogUyN
0,"@Tomasz_Obremski @bweglarczyk a co z takimi, którzy szczepić się nie mogą?"
0,"@o_biedronka @zdzisawrodzik ogólnie komuszy establishment sie zabezpiecza by się szczepić po za kolejnością, teraz szczepią młodszych chociaż starszych nie jest zaszczepiona nawet polowa, ale pierwsi muszą być znajomi a na końcu hołota   i biedota"
0,"@Daniel90492268 @koronawirus_xy @szczepimysie @a_niedzielski @michaldworczyk Po to żeby inni chcieli też się szczepić, oczywiście jeśli dawkę dostało się legalnie i według kolejności 😋"
0,"@BrabBarbara Daj spokój. Co się będziesz durniami przejmować. Sam nie jestem bezkrytycznym co do szczepionek i tego co koło nich wyprawiają ale trzeba nie mieć rozumu aby nie policzyć sobie bilansu zysków i strat. A te jasno wskazują że szczepić się warto. U mnie też moja Gocha, Mama już po."
0,"@mgm27_2005 @zagadkax @Krzyszt66038549 @drhalat @Mark001001 A Janda i jej banda nie wiedziała, bo jej ""macierzanka"" nie powiedziała, Hałat tez nie dzwonił, poleciała jak głupia razem z szefami TVN, i banda kolejnych idiotów do WUM się szczepić. I ten głupi rektor uczelni, nierozgarnięty, bez wiedzy kompletnie, kretyn, tego pilnował. https://t.co/hCgUSpw4Sb"
0,"@a_niedzielski @MZ_GOV_PL @michaldworczyk @szczepimysie Zaszczepić seniorów i nauczycieli ( siedzący w większości w domu) i oczekiwać, że epidemia wygaśnie... Dlatego teraz tyle 40 latkow w szpitalu"
0,"Podobnie było z przyłbicami. Najpierw chroniły, potem zaprosili na Grunwald. Bo nie chodzi o zdrowie tylko o to, żeby ludzi zaszczepić. Już nie wystarczy, że kupiono te szczepionki od Big Pharmy i dano im zarobić. Szczepienia mają być podstawą do podzielenia społeczeństw...👁️"
1,"Czy ktoś mi może powiedzieć, jakim sposobem w kraju, który przez 30 lat nie był w stanie uporać się ze skupem butelek i systemem zwrotu opakowań, rząd (najbardziej nieudolny) ma skutecznie walczyć z epidemią i zaszczepić 38 mln obywateli?
To przecież utopia..."
1,"@Aettka Jeżeli przez 3 m-ce zaszczepiono dwoma dawkami ok. 400 k
osób, to żeby zaszczepić ok 24 mln potrzeba około 5 lat.
🤔🤔"
0,"była dzisiaj u mnie koleżanka, która już jest zaszczepiona i nie umiała włączyć spotify za pomocą czipa :///"
0,"Takie małe marzenia, chcę tam wrócić,a nie mogę. Nie jestem zaszczepiona, nie mam terminu, a mam już 75 lat. Dlaczego się pytam! Kurwa, dlaczego 😡 https://t.co/Gz8HSfya6O"
1,"@dontletmehoranx nie, nie chcę i to oczywiste, że wirus nigdy nie zniknie, aktualnie zaszczepiona jest dosłowna mniejszość społeczeństwa i nie uważam, żeby jakkolwiek ""bezpiecznym sposobem"" było zorganizowanie gali w kraju, gdzie nie to, że chorują, tylko umierają miliony osób, podczas trwania +"
1,"@mwojcik_ @AnnaMarzec5 @Opolska domaga się całkowitego #lockdown i pretensje, ze nie została zaszczepiona ma do rządu a nie do UE, która negocjowała zakup i dostarczenie szczepionki."
0,"Jak wprowadzą szczepionkowe paszporty to zadeklaruje się jako osoba zaszczepiona.
Wystarczy?"
0,"chyba zaszczepie się przeciwko rakowi szyjki macicy bo już kiedyś lekarka mi to proponowała a ja głupia powiedziałam ze nie chce ale teraz jak slysze ze ciotka stacha ma właśnie raka macicy i słucham jak jej się to rozwija to japierdole, muszę pogadać z mama"
0,"@kruangh Pewnie, nie zaszczepię się, bo wolę być robiony w wuja przez kapitalistyczne koncerny sprzedające na lewo niż kupić u innych."
0,"@Stefania_1977 @katrina1974pl @MSBS57 @urwis1977 Widzi Szanowna Pani, ja znam te wyniki i właśnie dlatego się nie zaszczepię."
0,"@MZ_GOV_PL Nie zaszczepię się, dopóki jako zaszczepiona nie będę mogła NIE nosić maski. Zwłaszcza jak zamierzacie zakazać noszenia przyłbic, bez której mam bóle głowy."
0,"@propeertys @tradtec2101 Widać, że szczepienia przynoszą skutek. Coraz niższe dane. A blisko 20 mln Brytyjczyków jest już zaszczepionych, z tego, co wiem.."
1,@wPolityce_pl Szczepionki powinny się zmarnować jak ogromna ilość marnuje się codziennie? Lepiej było wylać niż zaszczepić kogokolwiek? Dlaczego Pieczka nie jest zaszczepiony? Dlaczego nie zakończono szczepień w grupie 0? Dlaczego rząd PiS planuje odsprzedaż zakontraktowanych szczepionek z UE?
0,"@WeronikaCh3 Hmm okej, dzięki ❤️ Trochę się zmartwiłam, jako że babcia mojej przyjaciółki, która mieszka w Gdańsku, już dawno została zaszczepiona - a z moimi dziadkami nadal nic, chociaż dostają co jakiś czas przypomnienia, że nadal są w kolejce"
0,"@IzkaIzul Zaszczepiona, ale właśnie nie wiem jak to jest przy kontakcie z covidem czy ide na kwarantanne czy nie"
0,full_text
0,@Gasiuk_Pihowicz @Sabka87362928 Szczepionek dla dziennikarzy i pseudo Polityków szczepienia pod pręgierzem❗
0,"@varshavskyseb Dożyjesz i będziesz bardzo szczęśliwy.
Możesz, wyjaśnić innym, jak to się stało,  że jesteś w tej strefie szczepienia?"
