etykieta,tekst
11,"@eelays Ktoś tu pisał o akcji szczepienia bez skierowań 19.IV - może plotka, może nie, nb. około tej daty ma być dostępna szczepionka J&amp;J, duża podaż może w końcu ,,system'' odblokuje. Liczę też na to, że prywatna służba zdrowia nie przepuści okazji i uruchomi szczepienia odpłatnie."
11,@tvp_info Ale po co? Wystarczy się szczepić. Nauka nie zna niczego innego aktualnie.
11,"@Iza_Belka_ @klinikandk Nie chcę się szczepić,  ponieważ nie choruję, covid mnie lubi na szczęście. Więc nie widzę sensu wstrzykiwać sobie substancji która nie została do końca przebadana gdy mój organizm radzi sobie z wirusami wyśmienicie  💪"
11,@trzaskowski_ @KolendaK @faktypofaktach @tvn24 Z jednym mają rację jak tylko w Polsce będą szczepić astra zeneką młodych ludzi to ilość zgonów będzie bardzo niska jak na cały świat.
11,"@MKruszewska_ @EMA_News Ale to jest prawda, obawy nie ustają. Szczepienia AZ u osób powyżej 60 rż jak wskazuje @grzesiowski_p to dobry kierunek. Szczepić się trzeba, co do tego nie ma wątpliwości ale trzeba to robić z głową. Jeden na milion to w zasadzie nic ale jeśli ja jestem ten jeden to już wszystko"
2,"""Szef zespołu ds. oceny szczepionek EMA Marco Cavaleri powiedział, że „obecnie coraz trudniej twierdzić, że nie ma związku przyczynowo-skutkowego między szczepionką #AstraZeneka a bardzo rzadkimi nietypowymi przypadkami zakrzepów krwi”

#szczepionka

https://t.co/PrbGS8RpBo"""
11,"@MonikaMonigro @Krzychu74706173 Ale to dopiero w kolejnym pokoleniu. Obecnie szczepienia służą stworzeniu szczepionkowych zombiaków na głodzie narkotycznym, żeby regularnie co pół roku wstrzykiwali sobie ten syf, wierząc, że bez niego umrą🤦Kasa, Misiu, kasa!"
11,"@MaaPera4 Jak ktoś chce niech się szczepi a jak nie to nie. Powinniśmy wybór w sposobie leczenia. Wiele osób wyleczyło się Amantadyną, więc również ten lek powinien być dostępny dla ludzi. Osobiście wolałabym leczyć się nim niż szczepić i nie powinno być dyskryminacji z tego powodu."
13,"@PKontrowersje @szczepimysie Jak najbardziej jest wskazane aby szczepić kogokolwiek ostatnimi dawkami w dany dzień. Każdy dzień to X zapisanych dawek, nie ma opcji aby niewykorzystaną pulę przekładać inny dzień, bo A) moc przerobowa ludzi B) przy tej grupie ludzie są bardziej mobilni i trudno dać termin"
11,"@Lewactwo Jest taka teoria. Ze system zaprojektowano by działał przy deficycie szczepionek kierowanych do określonych grup. Teraz, kiedy już chyba można szczepić wszystkich, to się musi wyjebać. I BTW: szczepionkami, jak gospodarka, nie da rady sterować centralnie."
13,"@PremierRP @MZ_GOV_PL @michaldworczyk Żenada. Każdy, kto chce!!! się zaszczepić (szczepienie nie jest obowiązkowe!) powinien mieć szansę zapisać się od samego początku!!! Po służbie zdrowia i chorych przewlekle!!! Każdy!!! Burdel na kółkach!"
5,"@PremierRP @MZ_GOV_PL @michaldworczyk Żenada. Każdy, kto chce!!! się zaszczepić (szczepienie nie jest obowiązkowe!) powinien mieć szansę zapisać się od samego początku!!! Po służbie zdrowia i chorych przewlekle!!! Każdy!!! Burdel na kółkach!"
5,"""@mhorala Towarzyszu ludzie z wielochorobowosciami narażeni na śmierć nie mają szans się zaszczepić. Ale konsultant który z domu materiały recenzuje dostał szczepionkę. Kolesie rozmaici się szczepią bez kolejek.
Ludzie mający do 30 lat zdrowi się szczepili
Sprawdź sobie Horała"""
11,@Tprk91900839 @Dominik51141857 Dokładnie tak będzie. Max 5-6 lat osoba zaszczepiona tym genetycznym gównem będzie żyć jak szczęście dopisze... nie żal mi tego gówna bo ludźmi tego nazwać nie można 🙏🏼
11,@mlodyniedzwiedz @rzeczpospolita @EMA_News @AstraZeneca 250 mln dawek do końca czerwca. Na razie jadą do ampulkowania i etykietowania do Puurs. Niemieckie media już nie używają określenia szczepionka Pfizera.
11,"@LeskiPiotr @zixer83 @SekretarzXXL @MZ_GOV_PL Tak, po pełnym szczepieniu (czyli przynajmniej 14 dni po II dawce) zachorowało mniej niż ~2,7 tys. osób."
11,"Minister @michaldworczyk: Mamy ponad 6500 punktów, które od stycznia realizują szczepienia. Tym dzięki którym jest możliwe, za pracę, poświęcenie i stres z tym związany trzeba podziękować. Mimo problemów z dostawami, system działał, przy dużym zaangażowaniu osób go tworzących."
3,"@Jenspihl @rzeczpospolita @EMA_News @AstraZeneca @szczepimysie Ja staram się myśleć logicznie, a wypowiedzi tzw. ekspertów i przedstawicieli rządu są ze sobą wzajemnie sprzeczne. Poza tym, wiadomo już o przypadkach zachorowań po podwójnej dawce szczepionki, wiadomo też, że szczepionka nie przerywa transmisji wirusa."
11,"@misiek_86 Ja w tym nie widzę nic kontrowersyjnego. Wręcz normalna rzecz. Igrzyska są w sierpniu, do tego czasu będziemy mieć (podobno) tak dużo szczepionek, że spokojnie będzie czas, miejsce i zasoby, by zaszczepić. Przynajmniej jedną dawką, jeśli nie dwoma."
11,@joannaw38 @nowePSL @motykamilosz @psl_wm System jest bardzo zły . Decentralizacja i udział samorządów pozwoliłby zaszczepić się  każdemu  w miejscu zamieszkania
11,"@miloszlodowski W USA szczepienia szybko posuwają się do przodu, więc pewnie za 3-4 miesiące uznają że jakiekolwiek dowody potwierdzające szczepienie będą zbędne. Większość zostanie zaszczepiona, a pandemia w odwrocie."
11,"""W 2020 po szczepieniach było 106 zgonów
W 2021 po szczepieniach jak na dzień dzisiejszy 1934
Dane z USA bo w Polsce takich informacji się nie ujawnia.
#szczepionka
#skutkiuboczne

https://t.co/sHVMxex8HH https://t.co/ogW6F6MKDR"""
9,"To teraz każda zaszczepiona tam osoba powinna przejść test na HIV, HCV, HBV i inne tego typu patogeny bo ryzyko OGROMNE #Rzeszów"
3,"@st_feu To jest dobre! Szczepimy się 3 miesiące, ale debile już wiedzą, że szczepionka działa 6. No kurwa proroki jakieś!!!"
1,"@Elka68354587 @marian_konarski @PrawdWasWyzwoli Nie ma racji, bo szczepionka nie blokuje wirusa przed wtargnieciem do organizmu. Szczepiony czy nie szczepiony może wirusa złapać i zarażać innych."
11,"""12 kwietnia rozpoczynają się zapisy dla rocznika ''62 #szczepionka #szczepienia 

https://t.co/25nZpqZ06f"""
4,"""@Katie7620 NIE ZAKRZYCZYSZ PRAWDY!!!!
SZCZEPIONKA DOBIŁA KRAWCZYKA!!!!
POMIMO IŻ KRAWCZYK SIĘ ZASZCZEPIŁ TO I TAK ZACHOROWAŁ NA COVID!!!
KRAWCZYK TO KOLEJNA OSOBA, KTÓRA UMARŁA PO SZCZEPIONCE!!!"""
11,@misiek_86 @Xaarc Ale co 4 lata jest WC/euro wiec dla nich tez szczepionka być powinna
2,"""@bfialek A tymczasem w Kandzie.

'""NACI ocenił stosunek korzyści do ryzyka porównując to zdarzenie niepożądane z ryzykiem zgonów COVID-19 u osób w Kanadzie w różnych w grupach wiekowych'"".

I cofnięto rekomendację dla szczepienia osób &lt; 55 roku życia AZ.

https://t.co/vtw4ZC21bM"""
3,"@aneczka07 @roznemoje NIE SZCZEP SIĘ! MIMO SZCZEPIONKI KRAWCZYK ZMARL NA COVID. SZCZEPIONKA TO ZŁO! ZABIJA CZŁOWIEKA PO 3 TYGODNIACH! NASTĘPNY W KOLEJCE DO GROBU JEST HOŁOWNIA, KTÓRY W SOBOTĘ SIĘ ZASZCZEPIŁ. ⚰️"
4,"@aneczka07 @roznemoje NIE SZCZEP SIĘ! MIMO SZCZEPIONKI KRAWCZYK ZMARL NA COVID. SZCZEPIONKA TO ZŁO! ZABIJA CZŁOWIEKA PO 3 TYGODNIACH! NASTĘPNY W KOLEJCE DO GROBU JEST HOŁOWNIA, KTÓRY W SOBOTĘ SIĘ ZASZCZEPIŁ. ⚰️"
11,Szczepionka działa 12 tygodni. 🤦‍♂️
11,"Dobrze, że coraz młodsze osoby są szczepione - przyznaje @MPosobkiewicz. - Są to osoby aktywne, z dużą liczbą spotkań. Dzieci też są wektorami, często przenoszą wirusa. Mam nadzieję, że wkrótce i dla nich będzie dostępna szczepionka."
3,"@PBeatap Zaszczypieni chorują i powodują pandemie. Do tego zdrowi ludzie, bez objawów choroby się testują. Prawdziwa pandemia wybuchnie, jak od 13 kwietnia zaczną się szczepić wszyscy."
11,Badania nad szczepionką wciąż trwają! Pomóż Pfizerowi i zaszczep się już dziś!
11,"""@k_pyrc @niewidzetego @Grzegorz_Red @Gregor_Kob @GrzybekMaciej @MZ_GOV_PL @GIS_gov @a_niedzielski @grzesiowski_p ja nawet mogę określić gdzie one pójdą;)
ok, dzisiaj pojawia się szczepionka z sensowną skutecznością p/p1. ba. pojawiają się nawet linie produkcyjne.
sądzisz, że unia, who, usa i reszta polityków zdąży do końca sierpnia chociaż przestać się żreć?
potrzeby sobie, realia sobie."""
11,"@mniejszyadas @a_niedzielski Coś mi się wydaje, że akurat ta szczepionka jest ze wszystkich zdecydowanie najlepsza."
