id,search,tweet
1455241764206518272,segregacja,"Walka Pani @AnnaSiarkowska z segregacją sanitarną to wg Pana Niedzielskiego zacofanie i zabobon. Wiara w moc świętej szmatki wyciąganej z brudnej kieszeni, gdzie sąsiaduje z usmarkaną chusteczką, to nowoczesność i postęp. Zabawa trwa, szkoda, że naszym kosztem. @PolsatNewsPL"
1455248120208633863,niezaszczepiona,"Ortopeda dr Fiołek w @PolsatNewsPL mówi, że gdyby miał jeden respirator i dwie osoby: zaszczepioną i niezaszczepioną, podłączyłby osobę zaszczepioną. Dzięki bogu! Nie podłączaj mnie doktorze pod respirator, którego nie potrafisz obsługiwać i nie rozwalaj mi płuc. Podaj mi tlen!"
1455118119408705536,segregacji,"Przypomnijmy redakcji @natematpl, że #SegregacjaSanitarna jest sprzeczna z polskim prawem i konstytucyjnymi zasadami. Sprzeciw wobec sanitarnej segregacji jest godny pochwały. Brawa dla autorów tego transparentu za sprzeciw wobec dyskryminacji! 👏👏👏  https://t.co/edLEkNbw1X"
1455287995234455555,szczepionki,"Liczba ofiar Covidu na  świecie przekroczyła 5 mln, w Polsce 77 tysięcy. Maseczki ograniczają transmisję wirusa, szczepionki pomagają  zachować zdrowie i ocalić życie."
1455103586036330497,segregacji,"Sprzeciw wobec segregacji ludzi (!!!) uznany przez @natematpl za... ""skandaliczny"" 🤦  Powiedzmy więc jeszcze raz głośno: #StopSegregacjiSanitarnej ‼️   https://t.co/VYrczhepoM"
1455233176788508690,szczepieni,"Telefon z Podlasia.  W domu jest szpital. Mąż (na zdalnym) gorączka i brak smaku. Żona - nauczycielka, brak smaku, łeb pęka, straszny katar i ból nosa.  Żona po teście-covid. Mąż- pewnie mam to samo. Oboje chorują drugi raz- po roku. Nie szczepieni. W domu 5 dzieci."
1455250806773538817,segregacja,@PolsatNewsPL @a_niedzielski @MZ_GOV_PL @PiotrWitwicki Bardzo dobrze. Nic Polaka tak nie wkurwia jak problemy w pracy. Powodzenia dla posłów głosujących za segregacją. Titanic w końcu zatonie
1455258425563258887,segregację,"@PolsatNewsPL @a_niedzielski @MZ_GOV_PL @PiotrWitwicki @AnnaSiarkowska Dlaczego Panie Ministrze @a_niedzielski atakuje Pan ad personam posła klubu PiS @AnnaSiarkowska za krytykę niekonstytucyjnego ograniczania wolności (a tym jest złamanie tajemnicy lekarskiej!)? Dość powiedzieć, że segregację sanitarną krytykuje też Prezydent @AndrzejDuda i #RPO."
1455275876036317190,niezaszczepiony,"@lkwarzecha Mój szef wie, że jestem niezaszczepiony. Oświadczyłem, że jak mnie będzie zmuszał, to odejdę. Ja sobie poradzę bez szczepionki, a szef beze mnie nie. I w piździe mam waszą ustawę, ale niech mnie kurwa szlag jasny trafi, jeśli na was zagłosuję, skurwysyny!"
1455078275177451523,zaszczepieni,"„…Raporty rządu Wielkiej Brytanii sugerują, że w grupie „W pełni zaszczepieni” gwałtownie rozwija się zespół nabytego niedoboru odporności, a u dzieci rozpoczął się spadek układu odpornościowego…”   https://t.co/wmDbDxAe96"
