username,score,score_percentage
KONFEDERACJA_,234747.0,0.0429853353585682
AnnaSiarkowska,86309.0,0.015804339605884902
synxchaosu,75228.0,0.01377525935732669
DanielWachowiak,69835.0,0.012787728468374933
mr_zvbr,66242.0,0.012129801807146736
WTumanowicz,62113.0,0.011373726331440856
Piotr_Schramm,59768.0,0.010944325268100994
WolnoscO,55655.0,0.010191179607752657
PiotrWiel,50685.0,0.009281105712315937
Joanna_Czarna,45374.0,0.008308590127071585
ChopAntoni1,42791.0,0.007835608060288275
mefistofelleess,42086.0,0.007706513071096548
placzekgrzegorz,41142.0,0.007533653965001524
OrdoMedicus,40678.0,0.007448689319632784
Dominik51141857,39383.0,0.0072115573891316665
Damian23746637,38461.0,0.007042726779153265
PiotrWitczak_,36521.0,0.0066874866670512045
ArturDziambor,34389.0,0.006297088770658632
aantypofrontB,31409.0,0.005751410660316292
Marcin_K5,30883.0,0.005655092980437073
szczepimysie,30068.0,0.005505855510662239
MarekMa32433534,29847.0,0.00546538743603618
katarzyna_ts,29037.0,0.005317065533560577
DariuszSzumilo,28310.0,0.005183942048252228
KLubnauer,26393.0,0.004832913545726635
GrzegorzBraun_,26082.0,0.004775965259714398
baspiela,24766.0,0.004534987946556506
EwaLTylkoPytam,24379.0,0.00446412303759594
Arachnidualny,22115.0,0.0040495541645036385
Magmag77711777,20968.0,0.003839523026059792
MBalawelder,20405.0,0.003736430148166256
davoff994_d,20352.0,0.0037267251347943954
PolsatNewsPL,19862.0,0.0036369995394696483
st_feu,19449.0,0.0035613736805530758
WaitsTw,18777.0,0.0034383214355362796
Aleksan69788972,18655.0,0.003415981593435016
agnieszkawolsk9,18354.0,0.003360864442021243
szczepienie,17254.0,0.003159439636190178
21schilling,16969.0,0.0031072523001339477
piotruchg,16788.0,0.003074108763901745
ObserwatorXY,16627.0,0.003044627496866471
mateusz_p1991,16332.0,0.002990609026211776
TeryAsic1,16261.0,0.0029776079705626803
Ankapitalizm,15927.0,0.002916448074973975
LukaszBok,15696.0,0.0028741488657494513
DoRzeczy_pl,15660.0,0.00286755678119498
Kulesza_pl,15566.0,0.0028503441159694162
SlawomirMentzen,15372.0,0.0028148201047592104
PioSzlachtowicz,15180.0,0.002779662320468697
Bob_Gedron,14679.0,0.0026879224770856394
PhilKonieczny,14588.0,0.002671259152239615
MartaStruczews1,14584.0,0.0026705266984002295
lis_tomasz,14209.0,0.0026018591509578207
batofthedungeon,13933.0,0.0025513198360402082
brunet_dr,13826.0,0.0025317266958366407
masakra_i_witam,13736.0,0.002515246484450463
Albert301271,13702.0,0.0025090206268156843
BlogerPisarz,13477.0,0.0024678200983502393
lkwarzecha,12926.0,0.0023669245819748605
Arystokrata1,12899.0,0.002361980518559007
Feniks82948212,12797.0,0.002343302945654672
MiroKa30045644,12747.0,0.0023341472726623506
MarcinRola89,12591.0,0.002305581572926309
WZylm,12226.0,0.0022387451600823643
__rorschach___,12194.0,0.0022328855293672787
OjciecLski,11795.0,0.0021598232588885564
KotSzary,11781.0,0.002157259670450706
PBeatap,11544.0,0.002113861780467104
lukosio78,11372.0,0.0020823662653735196
PawelBartosik,11334.0,0.0020754079538993554
poprawnym2,11300.0,0.002069182096264577
iwona_paulewicz,11248.0,0.002059660196352563
Krzysiekkulesza,11091.0,0.0020309113831566746
KramerGrzegorz,10712.0,0.0019615113818748802
