,url,statement,verdict,date
0,https://demagog.org.pl/wypowiedzi/do-jakiego-stopnia-krs-przypomina-rade-sadownictwa-w-hiszpanii/,"W opar­ciu o tę za­sa­dę dzi­siaj Try­bu­nał (Eu­ro­pej­ski Try­bu­nał Praw Czło­wie­ka – przyp. De­ma­gog) uznał, że pol­ski par­la­ment nie może wska­zy­wać czę­ści sę­dziow­skiej do Kra­jo­wej Rady Są­dow­nic­twa w taki to spo­sób, jaki czy­nią to Hisz­pa­nie, bo (…) taką mamy kon­struk­cję KRS.
Kon­fe­ren­cja pra­so­wa, 08.11.2021",MANIPULACJA,08-11-2021
1,https://demagog.org.pl/wypowiedzi/czy-inflacja-w-polsce-jest-najwyzsza-w-unii-europejskiej/,"Cały czas sły­szę od po­li­ty­ków PIS-u, że in­fla­cja jest wszę­dzie. Tak, ale u nas jest naj­wyż­sza i to jest ten pro­blem. (…) Jeśli cho­dzi o Unię Eu­ro­pej­ską jest ab­so­lut­nie naj­wyż­sza.
7. Dzień Ty­go­dnia w Radiu Zet, 07.11.2021",MANIPULACJA,07-11-2021
2,https://demagog.org.pl/wypowiedzi/ktory-klub-parlamentarny-ma-najwyzszy-odsetek-kobiet/,"Mamy naj­więk­szy od­se­tek ko­biet w klu­bie par­la­men­tar­nym (Sła­wo­mir Neu­mann na­le­ży do klubu Ko­ali­cji Oby­wa­tel­skiej – przyp. De­ma­gog), w par­la­men­cie, z in­nych klu­bów.
Po­ran­na roz­mo­wa w RMF FM, 05.11.2021",FAŁSZ,05-11-2021
3,https://demagog.org.pl/wypowiedzi/czy-emisje-co2-w-europie-nie-maja-wplywu-na-zmiany-klimatu/,"(…) prz­yn­ajmniej część tej tzw. zie­lo­nej po­li­ty­ki to sza­leń­stwo, a w in­nych przy­pad­kach teo­rie bez do­wo­dów. Nie da się stwier­dzić, że Eu­ro­pa, która emi­tu­je 8 proc. gazów, zmie­nia klimat.
Ga­ze­ta Pol­ska, 18.10.2021",MANIPULACJA,18-10-2021
4,https://demagog.org.pl/wypowiedzi/liberalizacja-prawa-do-aborcji-w-najnowszych-sondazach/,"Pra­wie 80 proc. Po­la­ków chce li­be­ra­li­za­cji obec­ne­go stanu praw­ne­go (do­ty­czą­ce­go prawa do abor­cji – przyp. De­ma­gog).
Kawa na ławę, 07.11.2021",PRAWDA,07-11-2021
5,https://demagog.org.pl/wypowiedzi/czy-wzrost-wynagrodzen-sprawia-ze-inflacja-jest-mniej-odczuwalna/,"Jeśli ktoś za­ra­bia o 20 proc. wię­cej, a in­fla­cja wy­no­si 6 proc., to mu 14 proc. zo­sta­je w kie­sze­ni.
Gość Radia Zet, 04.11.2021",MANIPULACJA,04-11-2021
6,https://demagog.org.pl/wypowiedzi/ile-wynosi-liczebnosc-wojska-obrony-terytorialnej/,"WOT miało li­czyć 50 tys. (żoł­nie­rzy – przyp. De­ma­gog), a teraz ledwo do­bi­ja do 30.
7. Dzień Ty­go­dnia w Radiu Zet, 31.10.2021",PRAWDA,31-10-2021
7,https://demagog.org.pl/wypowiedzi/czy-pis-nigdy-nie-odrzuca-obywatelskich-projektow-ustaw-w-pierwszym-czytaniu/,"Przy­po­mi­nam,że PiS ma za­sa­dę, że każdy pro­jekt oby­wa­tel­ski nie jest od­rzu­ca­ny w pierw­szym czy­ta­niu i prze­cho­dzi do pracy w ko­mi­sji. To kwe­stia sza­cun­ku do oby­wa­te­li(mi­ni­mum sto tys pod­pi­sów).Nie ozna­cza to po­par­cia dla pro­jek­tu (będę prze­ciw uchwa­le­nia przez Sejm pro­jek­tu pGo­dek)
Twit­ter, 29.10.2021",FAŁSZ,29-10-2021
8,https://demagog.org.pl/wypowiedzi/czy-podwyzka-cen-paliw-w-polsce-jest-jedna-z-najwyzszych-w-europie/,"Pod­wyż­ka cen paliw (…) trze­cia, czwar­ta, bo to jest ex aequo, naj­wyż­sza w Eu­ro­pie rok do roku, pra­wie 28 proc.
7. dzień ty­go­dnia w Radiu Zet, 31.10.2021",PRAWDA,31-10-2021
9,https://demagog.org.pl/wypowiedzi/czy-da-sie-ustalic-liczebnosc-polskiej-spolecznosci-lgbt/,"(…) 2 mln oby­wa­te­li i oby­wa­te­lek tego kraju, któ­rzy są ze spo­łecz­no­ści LGBT.
Po­sie­dze­nie Sejmu, 28.10.2021",NIEWERYFIKOWALNE,28-10-2021
10,https://demagog.org.pl/wypowiedzi/kaja-godek-o-nieheteronormatywnosci-wsrod-amerykanskich-nastolatkow/,"W Nowym Jorku prze­pro­wa­dza­no takie ba­da­nia, że py­ta­no na­sto­lat­ki, w jaki spo­sób się iden­ty­fi­ku­ją, i się oka­za­ło, że na prze­strze­ni kilku lat o 60% wzrósł od­se­tek osób, które się de­kla­ro­wa­ły jako – wła­śnie to taka no­wo­mo­wa – nie­he­te­ro­nor­ma­tyw­ne, czyli dziew­czy­ny nie czuły się ko­bie­ta­mi, chłop­cy nie czuli się męż­czy­zna­mi.
Po­sie­dze­nie Sejmu, 28.10.2021",MANIPULACJA,28-10-2021
