,title,verdict,short_justification
0,"Czy film pokazuje mord na pacjencie jednego z brazylijskich szpitali w celu ""poprawienia"" statystyk covidowych?",Fake News,"Według zgłoszonego do weryfikacji komentarza na portalu polmsg.pl, wklejony pod nim film przedstawia morderstwo w brazylijskim szpitalu, które ma rzekomo służyć podbijaniu statystyk dotyczących zgonów..."
1,Czy szczepienie na Covid-19 wpływa na zmianę psychiki i osobowości?,Fake News,"Twierdzenie, że szczepienie przeciwko COVID-19 powoduje zmianę osobowości, czy też „rzuca się ludziom na łeb” to fake news bez pokrycia w faktach, któremu zaprzeczają specjaliści psychiatrii i psychol..."
2,"Czy wydolnych oddechowo pacjentów podłącza się pod respiratory, żeby ich zabić i tym sposobem zawyżyć statystyki zgonów covidowych?",Fake News,"Autor zgłoszonego do weryfikacji twitta twierdzi, że szpitale przyjmują pacjentów z COVID-19 wydolnych oddechowo i, zamiast ich leczyć, kierują na intensywną terapię, gdzie po podłączeniu do respirato..."
3,Czy w Wiedniu można się zaszczepić na Covid-19 w domu publicznym?,Prawda,"Rzeczywiście jeden z domów publicznych w stolicy Austrii oferuje klientom możliwość szczepienia przeciwko Covid-19, a nawet bezpłatny wstęp do „klubu saun” każdemu, kto zgodzi się na szczepienie. Na ..."
4,Czy gubernator Kalifornii ma po 3 dawce szczepionki porażenie Bella?,Fake News,"W zgłoszonym do weryfikacji wpisie Joanny Kolendy na Twitterze czytamy, że gubernator Kalifornii Gavin Newsom „ma porażenie Bella”, czyli częściowy paraliż twarzy, którego nabawił się rzekomo w związk..."
5,Czy terapią kamertonami można wyleczyć raka?,Fake News,"Zgłoszony do weryfikacji materiał informuje, że za pomocą „dogłębnej muzykoterapii komórkowej” wykonywanej za pomocą „kamertonów leczniczych” można wyleczyć nawet najcięższe choroby, w tym m.in. raka ..."
6,"Czy aplikowanie dawek przypominających szczepienia przeciwko Covid- 19 to potwierdzenie, że te wcześniejsze nie spełniły swojej roli?",Fake News,"Słabnąca z czasem odpowiedź odpornościowa po szczepieniu nie jest niczym niezwykłym. Dawka przypominająca szczepionki przeciw Covid-19 jest podawana, aby temu przeciwdziałać, a także po, by wzmocnić o..."
7,Czy władze australijskiego stanu Victoria zamroziły konta bankowe niezaszczepionych?,Fake News,"Ze zgłoszonego tweeta dowiadujemy się, że Dan Andrews, gubernator stanu Wiktoria w Australii, zamraża konta bankowe niektórych ludzi, dopóki nie zaszczepią się przeciwko COVID-19. To nieprawda. Nie z..."
8,"Czy to prawda, że połowa pacjentów covidowych oddziału zakaźnego w Busku Zdroju jest zaszczepiona, co dowodzi, że szczepienia nie działają?",Fake News,"Z tekstu zgłoszonego do weryfikacji dowiadujemy się, że połowa pacjentów leczonych na oddziale zakaźnym szpitala w Busku-Zdroju to osoby zaszczepione. To nieprawda. Grzegorz Lasak, dyrektor szpitala..."
9,Czy testy przeciwko COVID-19 są eksperymentem medycznym?,Fake News,"Autor artykułu zgłoszonego do weryfikacji twierdzi, że pacjenci są zmuszani do wykonywania testów przeciw COVID-19, mimo że są one eksperymentem medycznym. Takie twierdzenie jest nieprawdą. – Nazywa..."
